runs,NotOut,mins,bf,fours,sixes,sr,Inns,Opp,Ground,Date
DNB,0,-,-,-,-,-,2,Zimbabwe,Bulawayo,3 Aug 2013
61,0,121,85,6,0,71.76,2,Australia,Pune,13 Oct 2013
100,1,82,52,8,7,192.30,2,Australia,Jaipur,16 Oct 2013
68,0,121,73,9,0,93.15,1,Australia,Mohali,19 Oct 2013
DNB,0,-,-,-,-,-,2,Australia,Ranchi,23 Oct 2013
115,1,104,66,18,1,174.24,2,Australia,Nagpur,30 Oct 2013
0,0,4,3,0,0,0.00,1,Australia,Bengaluru,2 Nov 2013
86,0,120,84,9,2,102.38,2,West Indies,Kochi,21 Nov 2013
99,0,159,100,9,0,99.00,1,West Indies,Visakhapatnam,24 Nov 2013
19,0,19,18,3,0,105.55,2,West Indies,Kanpur,27 Nov 2013
31,0,41,35,5,0,88.57,2,South Africa,Johannesburg,5 Dec 2013
0,0,7,5,0,0,0.00,2,South Africa,Durban,8 Dec 2013
TDNB,0,-,-,-,-,-,-,South Africa,Centurion,11 Dec 2013
123,0,179,111,11,2,110.81,2,New Zealand,Napier,19 Jan 2014
78,0,88,65,7,2,120.00,2,New Zealand,Hamilton,22 Jan 2014
6,0,27,20,1,0,30.00,2,New Zealand,Auckland,25 Jan 2014
2,0,14,10,0,0,20.00,1,New Zealand,Hamilton,28 Jan 2014
82,0,129,78,7,3,105.12,2,New Zealand,Wellington,31 Jan 2014
136,0,157,122,16,2,111.47,2,Bangladesh,Fatullah,26 Feb 2014
48,0,66,51,4,1,94.11,1,Sri Lanka,Fatullah,28 Feb 2014
5,0,29,11,0,0,45.45,1,Pakistan,Dhaka,2 Mar 2014
DNB,0,-,-,-,-,-,2,Afghanistan,Dhaka,5 Mar 2014
0,0,1,3,0,0,0.00,1,England,Cardiff,27 Aug 2014
40,0,67,50,2,1,80.00,2,England,Nottingham,30 Aug 2014
1,1,9,3,0,0,33.33,2,England,Birmingham,2 Sep 2014
13,0,25,21,2,0,61.90,2,England,Leeds,5 Sep 2014
2,0,7,5,0,0,40.00,2,West Indies,Kochi,8 Oct 2014
62,0,124,78,5,0,79.48,1,West Indies,Delhi,11 Oct 2014
127,0,164,114,13,3,111.40,1,West Indies,Dharamsala,17 Oct 2014
22,0,34,21,2,0,104.76,1,Sri Lanka,Cuttack,2 Nov 2014
49,0,-,44,2,2,111.36,2,Sri Lanka,Ahmedabad,6 Nov 2014
53,0,-,61,4,1,86.88,2,Sri Lanka,Hyderabad (Deccan),9 Nov 2014
66,0,109,64,6,0,103.12,1,Sri Lanka,Kolkata,13 Nov 2014
139,1,192,126,12,3,110.31,2,Sri Lanka,Ranchi,16 Nov 2014
9,0,24,16,0,0,56.25,1,Australia,Melbourne,18 Jan 2015
4,0,13,8,0,0,50.00,1,England,Brisbane,20 Jan 2015
3,1,8,9,0,0,33.33,1,Australia,Sydney,26 Jan 2015
8,0,26,19,0,0,42.10,1,England,Perth,30 Jan 2015
107,0,168,126,8,0,84.92,1,Pakistan,Adelaide,15 Feb 2015
46,0,106,60,3,0,76.66,1,South Africa,Melbourne,22 Feb 2015
33,1,49,41,5,0,80.48,2,U.A.E.,Perth,28 Feb 2015
33,0,51,36,5,0,91.66,2,West Indies,Perth,6 Mar 2015
44,1,64,42,4,1,104.76,2,Ireland,Hamilton,10 Mar 2015
38,0,71,48,4,0,79.16,2,Zimbabwe,Auckland,14 Mar 2015
3,0,6,8,0,0,37.50,1,Bangladesh,Melbourne,19 Mar 2015
1,0,11,13,0,0,7.69,2,Australia,Sydney,26 Mar 2015
1,0,9,4,0,0,25.00,2,Bangladesh,Dhaka,18 Jun 2015
23,0,57,27,3,1,85.18,1,Bangladesh,Dhaka,21 Jun 2015
25,0,55,35,1,0,71.42,1,Bangladesh,Dhaka,24 Jun 2015
11,0,29,18,0,0,61.11,2,South Africa,Kanpur,11 Oct 2015
12,0,24,18,0,0,66.66,1,South Africa,Indore,14 Oct 2015
77,0,155,99,5,0,77.77,2,South Africa,Rajkot,18 Oct 2015
138,0,202,140,6,5,98.57,1,South Africa,Chennai,22 Oct 2015
7,0,11,6,0,1,116.66,2,South Africa,Mumbai,25 Oct 2015
91,0,148,97,9,1,93.81,1,Australia,Perth,12 Jan 2016
59,0,84,67,4,0,88.05,1,Australia,Brisbane,15 Jan 2016
117,0,174,117,7,2,100.00,1,Australia,Melbourne,17 Jan 2016
106,0,131,92,11,1,115.21,2,Australia,Canberra,20 Jan 2016
8,0,11,11,1,0,72.72,2,Australia,Sydney,23 Jan 2016
85,1,109,81,9,1,104.93,2,New Zealand,Dharamsala,16 Oct 2016
9,0,18,13,1,0,69.23,2,New Zealand,Delhi,20 Oct 2016
154,1,202,134,16,1,114.92,2,New Zealand,Mohali,23 Oct 2016
45,0,64,51,2,1,88.23,2,New Zealand,Ranchi,26 Oct 2016
65,0,152,76,2,1,85.52,1,New Zealand,Visakhapatnam,29 Oct 2016
122,0,147,105,8,5,116.19,2,England,Pune,15 Jan 2017
8,0,6,5,2,0,160.00,1,England,Cuttack,19 Jan 2017
55,0,81,63,8,0,87.30,2,England,Kolkata,22 Jan 2017
81,1,108,68,6,3,119.11,1,Pakistan,Birmingham,4 Jun 2017
0,0,5,5,0,0,0.00,1,Sri Lanka,The Oval,8 Jun 2017
76,1,136,101,7,1,75.24,2,South Africa,The Oval,11 Jun 2017
96,1,96,78,13,0,123.07,2,Bangladesh,Birmingham,15 Jun 2017
5,0,11,9,0,0,55.55,2,Pakistan,The Oval,18 Jun 2017
32,1,-,47,1,0,68.08,1,West Indies,Port of Spain,23 Jun 2017
87,0,-,66,4,4,131.81,1,West Indies,Port of Spain,25 Jun 2017
11,0,-,22,2,0,50.00,1,West Indies,North Sound,30 Jun 2017
3,0,-,12,0,0,25.00,2,West Indies,North Sound,2 Jul 2017
111,1,-,115,12,2,96.52,2,West Indies,Kingston,6 Jul 2017
82,1,-,70,10,1,117.14,2,Sri Lanka,Dambulla,20 Aug 2017
4,0,-,2,1,0,200.00,2,Sri Lanka,Pallekele,24 Aug 2017
3,0,-,11,0,0,27.27,2,Sri Lanka,Pallekele,27 Aug 2017
131,0,-,96,17,2,136.45,1,Sri Lanka,Colombo (RPS),31 Aug 2017
110,1,-,116,9,0,94.82,2,Sri Lanka,Colombo (RPS),3 Sep 2017
0,0,7,4,0,0,0.00,1,Australia,Chennai,17 Sep 2017
92,0,148,107,8,0,85.98,1,Australia,Kolkata,21 Sep 2017
28,0,58,35,2,0,80.00,2,Australia,Indore,24 Sep 2017
21,0,23,21,3,0,100.00,2,Australia,Bengaluru,28 Sep 2017
39,0,73,55,2,0,70.90,2,Australia,Nagpur,1 Oct 2017
121,0,203,125,9,2,96.80,1,New Zealand,Mumbai,22 Oct 2017
29,0,40,29,3,1,100.00,2,New Zealand,Pune,25 Oct 2017
113,0,166,106,9,1,106.60,1,New Zealand,Kanpur,29 Oct 2017
112,0,164,119,10,0,94.11,2,South Africa,Durban,1 Feb 2018
46,1,64,50,4,1,92.00,2,South Africa,Centurion,4 Feb 2018
160,1,220,159,12,2,100.62,1,South Africa,Cape Town,7 Feb 2018
75,0,119,83,7,1,90.36,1,South Africa,Johannesburg,10 Feb 2018
36,0,76,54,2,0,66.66,1,South Africa,Port Elizabeth,13 Feb 2018
129,1,123,96,19,2,134.37,2,South Africa,Centurion,16 Feb 2018
75,0,-,82,7,0,91.46,2,England,Nottingham,12 Jul 2018
45,0,-,56,2,0,80.35,2,England,Lord's,14 Jul 2018
71,0,98,72,8,0,98.61,1,England,Leeds,17 Jul 2018
140,0,-,107,21,2,130.84,2,West Indies,Guwahati,21 Oct 2018
157,1,217,129,13,4,121.70,1,West Indies,Visakhapatnam,24 Oct 2018
107,0,-,119,10,1,89.91,2,West Indies,Pune,27 Oct 2018
16,0,-,17,2,0,94.11,1,West Indies,Mumbai (BS),29 Oct 2018
