,runs,Opp,Ground,Inns
253,7,England,Pune,1
254,51,South Africa,Paarl,2
255,0,South Africa,Paarl,1
256,65,South Africa,Cape Town,2
257,8,West Indies,Ahmedabad,2
258,18,West Indies,Ahmedabad,1
259,0,West Indies,Ahmedabad,1
260,16,England,Lord's,2
261,17,England,Manchester,2
262,9,Bangladesh,Mirpur,1
263,5,Bangladesh,Mirpur,2
264,113,Bangladesh,Chittagong,1
265,113,Sri Lanka,Guwahati,1
266,4,Sri Lanka,Kolkata,2
267,166,Sri Lanka,Thiruvananthapuram,1
268,8,New Zealand,Hyderabad (Deccan),1
269,11,New Zealand,Raipur,2
270,36,New Zealand,Indore,1
